Willy Wonka
Don Vito Corleone
Norma Desmond
Dirty Harry
Rick Blaine
Rhett Butler
Charles Foster Kane
Forrest Gump
Dorothy
Han Solo
The Terminator
Yoda
Inigo Montoya
Charles Dickens
Leo Tolstoy
Jane Austen
Lewis Carroll
J.K. Rowling
George R.R. Martin
Ernest Hemingway
Herman Melville
William Faulkner
William Shakespeare
Isaac Asimov
Will Rogers
Lily Tomlin
Steve Martin
Winston Churchill
Oscar Wilde
Tony Robbins
Joseph Campbell
Wayne Dyer
Thomas Jefferson
Bill Gates
Robert C. Martin
